date	close
2000	25339.5988179608
2001	26535.7017371561
2002	27561.1398800547
2003	27977.0870783926
2004	29093.8200921305
2005	30126.5826670288
2006	32539.1647462189
2007	34425.7109951329
2008	35758.7671901867
2009	34853.2208649495
2010	35853.5583878633
2011	37437.9484589891
2012	37805.1211408141
2013	38988.6339281093
2014	39919.3062907178
2015	40852.1550923087
2016	42059.778376133
