date	close
2000	
2001	
2002	
2003	
2004	
2005	0.576
2006	0.574
2007	0.572
2008	0.576
2009	0.584
2010	0.585
2011	0.581
2012	0.589
2013	0.597
2014	0.586
2015	0.588
