date	close
2000	0.424
2001	0.433
2002	0.443
2003	0.456
2004	0.467
2005	0.479
2006	0.492
2007	0.504
2008	0.518
2009	0.533
2010	0.543
2011	0.554
2012	0.565
2013	0.570
2014	0.576
2015	0.579
