date	close
2000	
2001	
2002	
2003	0.740
2004	0.746
2005	0.751
2006	0.762
2007	0.774
2008	0.785
2009	0.787
2010	0.792
2011	0.797
2012	0.799
2013	0.803
2014	0.804
2015	0.807
