date	close
2000	0.828
2001	0.836
2002	0.841
2003	0.846
2004	0.851
2005	0.856
2006	0.862
2007	0.866
2008	0.868
2009	0.869
2010	0.872
2011	0.877
2012	0.876
2013	0.877
2014	0.881
2015	0.887
